label,R,G,B,C,C-R,C-G,C-B,R-G,R-B,G-B
green,549,941,437,2133,1584,1192,1696,-392,112,504
green,549,941,437,2133,1584,1192,1696,-392,112,504
green,549,941,437,2133,1584,1192,1696,-392,112,504
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,543,925,416,1840,1297,915,1424,-382,127,509
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,326,603,406,1268,942,665,862,-277,-80,197
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,324,504,326,1030,706,526,704,-180,-2,178
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,326,504,342,1030,704,526,688,-178,-16,162
green,326,504,342,1030,704,526,688,-178,-16,162
green,326,504,342,1030,704,526,688,-178,-16,162
green,326,504,342,1030,704,526,688,-178,-16,162
green,326,504,342,1030,704,526,688,-178,-16,162
green,326,504,342,1030,704,526,688,-178,-16,162
green,326,504,342,1030,704,526,688,-178,-16,162
green,326,504,342,1030,704,526,688,-178,-16,162
green,326,504,342,1030,704,526,688,-178,-16,162
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,269,367,210,837,568,470,627,-98,59,157
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,773,517,420,609,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,256,353,164,837,581,484,673,-97,92,189
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,413,645,197,1336,923,691,1139,-232,216,448
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,434,691,342,1475,1041,784,1133,-257,92,349
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,453,819,348,1609,1156,790,1261,-366,105,471
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,611,1015,367,2100,1489,1085,1733,-404,244,648
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,648,1015,442,2195,1547,1180,1753,-367,206,573
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,1010,462,2195,1571,1185,1733,-386,162,548
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,984,462,2195,1571,1211,1733,-360,162,522
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
green,624,950,429,2080,1456,1130,1651,-326,195,521
